path,type,answer
1.png,1,9
2.png,1,24
3.png,1,48
4.png,1,"6,405.00"
5.png,1,"1,700.00"
6.png,1,200
7.png,1,1
8.png,1,803
9.png,1,294
10.png,1,-6
11.png,1,74
12.png,1,245
13.png,1,-68
14.png,1,26
15.png,1,67
16.png,1,21.9032
17.png,1,106
18.png,1,50
19.png,1,50
20.png,1,32
21.png,1,40
22.png,1,702
23.png,1,80
24.png,1,19
25.png,1,520
26.png,1,"1,898.00"
27.png,1,11
28.png,1,52
29.png,1,28.3333
30.png,1,20
31.png,1,58
32.png,1,53
33.png,1,4
34.png,1,-20
35.png,1,513
36.png,1,-7
37.png,1,1
38.png,1,41
39.png,1,128
40.png,1,0
41.png,1,0
42.png,1,30
43.png,1,49
44.png,1,21
45.png,1,2.6
46.png,1,682
47.png,1,100
48.png,1,-3
49.png,1,372
50.png,1,300
51.png,1,91
52.png,1,67
53.png,1,45
54.png,1,"4,717.00"
55.png,1,121.25
56.png,1,0.0377
57.png,1,100
58.png,1,62
59.png,1,2
60.png,1,2.8
61.png,1,12.3333
62.png,1,61
63.png,1,0.8
64.png,1,22
65.png,1,85
66.png,1,65
67.png,1,1.3636
68.png,1,4
69.png,1,68
70.png,1,16
71.png,1,6
72.png,1,71
73.png,1,1
74.png,1,6
75.png,1,52
76.png,1,70
77.png,1,3.9524
78.png,1,-7
79.png,1,4.7059
80.png,1,44
81.png,1,0.2
82.png,1,-46
83.png,1,3
84.png,1,113
85.png,1,0
86.png,1,2
87.png,1,4.5294
88.png,1,-12
89.png,1,98
90.png,1,117
91.png,1,-9.1364
92.png,1,-67
93.png,1,-4.1143
94.png,1,"83,254.00"
95.png,1,30.195
96.png,1,"5,581.00"
97.png,1,1.0109
98.png,1,0.9
99.png,1,0.0013
100.png,1,"3,750.40"
101.png,1,-4.1143
102.png,1,13.8966
103.png,1,391
104.png,1,86
105.png,1,-1
106.png,1,221
107.png,1,-87.375
108.png,1,4.8554
109.png,1,"2,632.00"
110.png,1,54.7917
111.png,1,432
112.png,1,893
113.png,1,10
114.png,1,"2,219.00"
115.png,1,-348
116.png,1,"2,582.47"
117.png,1,61.2692
118.png,1,-33
119.png,1,0.0245
120.png,1,-410
121.png,1,75.0222
122.png,1,"144,329.00"
123.png,1,958
124.png,1,73.4524
125.png,1,-51.0976
126.png,1,85
127.png,1,6.8456
128.png,1,57
129.png,1,95
130.png,1,-10
131.png,1,"2,508.00"
132.png,1,166
133.png,1,8.0364
134.png,1,-0.1429
135.png,1,0.005
136.png,1,21.5753
137.png,1,-68.1724
138.png,1,-3
139.png,1,"1,629.00"
140.png,1,"3,796.00"
141.png,1,31.1538
142.png,1,-0.5556
143.png,1,175.4677
144.png,1,20.7143
145.png,1,-22.7209
146.png,1,0.0082
147.png,1,62.0233
148.png,1,"5,820.00"
149.png,1,-91.9373
150.png,1,144
151.png,1,6.6176
152.png,1,114.5
153.png,1,-0.1
154.png,0,8.54
155.png,0,35
156.png,0,169
157.png,0,0.01
158.png,0,-779
159.png,0,110
160.png,0,-111
161.png,0,209
162.png,0,106
163.png,0,29
164.png,0,37.47
165.png,0,-11.17
166.png,0,25.23
167.png,0,-5070
168.png,0,-71
169.png,0,86
170.png,0,0.91
171.png,0,132
172.png,0,1410
173.png,0,77.66
174.png,0,13.54
175.png,0,-704
176.png,0,3193.6
177.png,0,-51.98
178.png,0,0
179.png,0,-4
180.png,0,40
181.png,0,0.03
182.png,0,465.86
183.png,0,151
184.png,0,4
185.png,0,2440.52
186.png,0,0.29
187.png,0,-89696
188.png,0,-10.66
189.png,0,75.34
190.png,0,-1788
191.png,0,8085
192.png,0,-27
193.png,0,10656
194.png,0,48
195.png,0,27
196.png,0,848
197.png,0,59.69
198.png,0,3919
199.png,0,2970
200.png,0,122
201.png,0,68.07
202.png,0,120
203.png,0,119.81
204.png,0,1892
205.png,0,-60
206.png,0,-3
207.png,0,51.37
208.png,0,71
209.png,0,65
210.png,0,1133
211.png,0,3657
212.png,0,134
213.png,0,639
214.png,0,-204
215.png,0,95.5
216.png,0,131.44
217.png,0,0.64
218.png,0,72.75
219.png,0,19.67
220.png,0,0
221.png,0,-2717
222.png,0,100.81
223.png,0,21
224.png,0,2121
225.png,0,158
226.png,0,0.05
227.png,0,151
228.png,0,4187
229.png,0,54
230.png,0,781.71
231.png,0,254
232.png,0,-7589
233.png,0,-18
234.png,0,8.95
235.png,0,29721
236.png,0,-13.94
237.png,0,88.61
238.png,0,91
239.png,0,223850
240.png,0,151
241.png,0,-207
242.png,0,0.9
243.png,0,123
244.png,0,3.2
245.png,0,1.67
246.png,0,185
247.png,0,20168.4
248.png,0,2457
249.png,0,-50.67
250.png,0,46002
251.png,0,460
252.png,0,265
253.png,0,-9339
254.png,0,-5
255.png,0,-84.28
256.png,0,-124
257.png,0,148
258.png,0,1.3
259.png,0,-0.01
260.png,0,202
261.png,0,69.97
262.png,0,-46.46
263.png,0,-62
264.png,0,10
265.png,0,44
266.png,0,288
267.png,0,2.62
268.png,0,2535.63
269.png,0,63.6
270.png,0,62
271.png,0,29
272.png,0,29200
273.png,0,149.08
274.png,0,49.21
275.png,0,61776
276.png,0,0.59
277.png,0,-45
278.png,0,0.9
279.png,0,152
280.png,0,2427
281.png,0,703
282.png,0,5.31
283.png,0,-74
284.png,0,-2920
285.png,0,-3648
286.png,0,3999
287.png,0,2560
288.png,0,0.53
289.png,0,3738
290.png,0,129
291.png,0,115
292.png,0,85805
293.png,0,2103300
294.png,0,96.14
295.png,0,4128
296.png,0,3977.51
297.png,0,0.03
298.png,0,-34
299.png,0,12.38
300.png,0,146
301.png,0,45.5
302.png,0,6
303.png,0,48
304.png,0,-2482
305.png,0,17.08
306.png,0,0
